latitude,longitude,Cluster,MallScore,HospitalScore,BusTerminalScore,RailwayScore,MetroScore,ITParkScore,CommercialScore,CompanyScore,TrafficScore,RoadConnectivity,DistanceScore,RecommendationScore,Recommendation,Rank
13.0154974,80.2253737,4.0,0.27537844263506067,0.7054875487599293,0.5169659473062548,0.8618514900840408,0.8618514900840408,0.9504083983701989,0.9058143771382617,0.9504083983701989,0.3219474521200681,1.0,0.7777035358533707,0.9614766641204217,"Recommended because it has excellent road connectivity, near an IT park, close to a metro station, near a railway station, good access to hospitals, located in a commercial area, near corporate offices and well separated from existing charging stations.",1
12.9993871,80.2024874,4.0,0.3596171421179406,0.780540601722962,0.5903963984408129,0.8602299441072759,0.8602299441072759,0.6830919214514986,0.7868715197458797,0.5998598571021604,0.31816537563163194,1.0,0.918631114620763,0.9533472454526949,"Recommended because it has excellent road connectivity, near an IT park, close to a metro station, near a railway station, good access to hospitals, located in a commercial area and well separated from existing charging stations.",2
13.0566976,80.2566721,0.0,0.5787383875767479,0.7700519723256918,0.2965107512257347,0.7661557460240299,0.7661557460240299,0.9783865961833588,0.9359152533630548,0.9783865961833588,0.32794821372639876,0.7083333333333334,0.78775425373257,0.9483758082441834,"Recommended because it has excellent road connectivity, near an IT park, close to a metro station, near a railway station, good access to hospitals, located in a commercial area, near corporate offices and well separated from existing charging stations.",3
12.9009094,80.2278862,1.0,0.1517716499760337,0.948215402166043,0.25674068629955193,0.9900034332830896,0.9900034332830896,0.9655669712657203,0.9066238430706557,0.8048526764828426,0.3289846396218402,0.6111111111111112,0.8692390806700696,0.9453671961834994,"Recommended because it has near an IT park, close to a metro station, near a railway station, good access to hospitals, located in a commercial area, near corporate offices and well separated from existing charging stations.",4
13.0499473,80.21188,4.0,0.7822473950844598,0.9063580599155623,0.6550496195002925,0.8994208976312388,0.8994208976312388,0.5876394382669724,0.7919598523355974,0.5876394382669724,0.32898463962189833,1.0,0.454782741459119,0.9156652658898151,"Recommended because it has excellent road connectivity, close to a metro station, near a railway station, close to a shopping mall, good access to hospitals and located in a commercial area.",5
13.0773336,80.2406122,0.0,0.33334737179498136,0.9046329396741621,0.29686467076727413,0.8196898330390205,0.8196898330390205,0.9565727093022149,0.9002046658432927,0.44644957436456584,0.32898463962189833,0.7083333333333334,0.7998540303158244,0.8798496810668116,"Recommended because it has excellent road connectivity, near an IT park, close to a metro station, near a railway station, good access to hospitals, located in a commercial area and well separated from existing charging stations.",6
13.0822677,80.2816254,0.0,0.5028064035912412,0.9204628431552788,0.627141779018569,0.8310003699036487,0.8310003699036487,0.7554249679486014,0.7776450843155134,0.3589205193928989,0.32898463962189833,0.7083333333333334,0.721527432860919,0.8714438458975612,"Recommended because it has excellent road connectivity, near an IT park, close to a metro station, near a railway station, good access to hospitals, located in a commercial area and well separated from existing charging stations.",7
13.0930485,80.1985128,3.0,0.44948805546565584,0.679778728587122,0.9271776298699888,0.5996904044288696,0.5996904044288696,0.7998270525931808,0.4509109471227782,0.7998270525931808,0.32674186589629256,0.875,0.7899725206608749,0.8356027796809046,"Recommended because it has excellent road connectivity, near an IT park, good access to hospitals, near corporate offices and well separated from existing charging stations.",8
13.0222375,80.2063264,4.0,0.23791847047380832,0.5622576737317758,0.40609480815197707,0.6253625679734123,0.6253625679734123,0.9450784971616549,0.911174700140111,0.9450784971616549,0.31848824014914684,1.0,0.7970839035667516,0.8344746465384886,"Recommended because it has excellent road connectivity, near an IT park, close to a metro station, near a railway station, located in a commercial area, near corporate offices and well separated from existing charging stations.",9
12.9760873,80.2213325,4.0,0.6805487585425648,0.9146009272849648,0.4236010377135462,0.5096487859165265,0.5096487859165265,0.7159306840750078,0.7746193195152552,0.31686105923217467,0.3289846396218402,1.0,0.6398574610169976,0.7942812192872938,"Recommended because it has excellent road connectivity, near an IT park, close to a shopping mall, good access to hospitals, located in a commercial area and well separated from existing charging stations.",10
